id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
205,2135287568097,1773051311041092431,1773049175753524334,58,97346,1
206,2135288577786,1773051311042056578,1773049175753478792,9689,-45542,1
207,2135289568953,1773051311043137965,1773049175753569012,-8833,90220,1
208,2135290578922,1773051311044056209,1773049175753477287,9969,-91725,1
209,2135291569270,1773051311045058651,1773049175753489381,-9652,12094,1
210,2135292577986,1773051311046029146,1773049175753451160,8716,-38221,1
211,2135293569284,1773051311047074721,1773049175753505437,-8702,54277,1
212,2135294577815,1773051311048059146,1773049175753481331,8531,-24106,1
213,2135295569442,1773051311048996519,1773049175753427077,-8373,-54254,1
214,2135296566741,1773051311050064564,1773049175753497823,-2701,70746,1
215,2135297578101,1773051311051045401,1773049175753467300,11360,-30523,1
216,2135298568968,1773051311052030124,1773049175753461156,-9133,-6144,1
217,2135299567580,1773051311053091865,1773049175753524285,-1388,63129,1
218,2135300577744,1773051311054079563,1773049175753501819,10164,-22466,1
219,2135301568522,1773051311055082790,1773049175753514268,-9222,12449,1
220,2135302576938,1773051311056070433,1773049175753493495,8416,-20773,1
221,2135303568545,1773051311057074184,1773049175753505639,-8393,12144,1
222,2135304577137,1773051311058038499,1773049175753461362,8592,-44277,1
223,2135305568374,1773051311059078237,1773049175753509863,-8763,48501,1
224,2135306577718,1773051311060010188,1773049175753432470,9344,-77393,1
225,2135307568174,1773051311061068105,1773049175753499931,-9544,67461,1
226,2135308576936,1773051311062001958,1773049175753425022,8762,-74909,1
227,2135309569391,1773051311063052079,1773049175753482688,-7545,57666,1
228,2135310576657,1773051311064030024,1773049175753453367,7266,-29321,1
229,2135311569556,1773051311065067036,1773049175753497480,-7101,44113,1
230,2135312578509,1773051311066072928,1773049175753494419,8953,-3061,1
231,2135313573159,1773051311067187189,1773049175753614030,-5350,119611,1
232,2135314580865,1773051311068088243,1773049175753507378,7706,-106652,1
233,2135315570713,1773051311069147036,1773049175753576323,-10152,68945,1
