id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
492,1709644645783,1709644721141,75358,1000,-3069
493,1709645644849,1709645720488,75639,-934,281
494,1709646645075,1709646731571,86496,226,10857
495,1709647645769,1709647721256,75487,694,-11009
496,1709648644859,1709648722473,77614,-910,2127
497,1709649645697,1709649715279,69582,838,-8032
498,1709650645074,1709650715901,70827,-623,1245
499,1709651644851,1709651750793,105942,-223,35115
500,1709652645822,1709652742985,97163,971,-8779
501,1709653645249,1709653732687,87438,-573,-9725
502,1709654645480,1709655688641,1043161,231,955723
503,1709655672589,1709655759680,87091,27109,-956070
504,1709656646130,1709656713774,67644,-26459,-19447
505,1709657644854,1709657733982,89128,-1276,21484
506,1709658645648,1709658715833,70185,794,-18943
507,1709659645052,1709659725940,80888,-596,10703
508,1709660645344,1709660723060,77716,292,-3172
509,1709661646174,1709661735652,89478,830,11762
510,1709662646576,1709662732121,85545,402,-3933
511,1709663645975,1709663730698,84723,-601,-822
512,1709664645534,1709664761502,115968,-441,31245
513,1709665644788,1709665736581,91793,-746,-24175
514,1709666750025,1709666849638,99613,105237,7820
515,1709667646435,1709667730368,83933,-103590,-15680
516,1709668645923,1709670085379,1439456,-512,1355523
517,1709670065019,1709670155465,90446,419096,-1349010
518,1709670645024,1709670715344,70320,-419995,-20126
519,1709671644978,1709671716949,71971,-46,1651
520,1709672645452,1709672720271,74819,474,2848
521,1709673645614,1709673712323,66709,162,-8110
522,1709674644996,1709674737014,92018,-618,25309
523,1709675646048,1709675727917,81869,1052,-10149
524,1709676645365,1709676722673,77308,-683,-4561
525,1709677645216,1709677717377,72161,-149,-5147
526,1709678646730,1709678727596,80866,1514,8705
527,1709679644941,1709679719140,74199,-1789,-6667
528,1709680633629,1709680727250,93621,-11312,19422
529,1709681645565,1709681720090,74525,11936,-19096
530,1709682645198,1709682723053,77855,-367,3330
531,1709683645590,1709683721847,76257,392,-1598
532,1709684645153,1709684725107,79954,-437,3697
533,1709685645173,1709685719685,74512,20,-5442
534,1709686645439,1709686725849,80410,266,5898
535,1709687646231,1709687729454,83223,792,2813
536,1709688645952,1709688715649,69697,-279,-13526
537,1709689645388,1709689732592,87204,-564,17507
538,1709690651405,1709690747426,96021,6017,8817
